# E-commerce - Top 20 Verified Platforms
# Format: Name|URL|Category|Priority

Etsy|https://www.etsy.com/people/{username}|ecommerce|9
eBay|https://www.ebay.com/usr/{username}|ecommerce|9
Amazon|https://www.amazon.com/gp/profile/{username}|ecommerce|8
Redbubble|https://www.redbubble.com/people/{username}|ecommerce|7
Society6|https://society6.com/{username}|ecommerce|6
Teepublic|https://www.teepublic.com/user/{username}|ecommerce|6
Depop|https://www.depop.com/{username}|ecommerce|7
Poshmark|https://poshmark.com/closet/{username}|ecommerce|6
Mercari|https://www.mercari.com/u/{username}|ecommerce|6
Grailed|https://www.grailed.com/{username}|ecommerce|6
Gumroad|https://gumroad.com/{username}|ecommerce|7
Payhip|https://payhip.com/{username}|ecommerce|5
Avito|https://www.avito.ru/user/{username}|ecommerce|8
Yandex.Market|https://market.yandex.ru/user/{username}|ecommerce|7
Wildberries|https://www.wildberries.ru/seller/{username}|ecommerce|7
Ozon|https://www.ozon.ru/seller/{username}|ecommerce|7
PayPal|https://www.paypal.com/paypalme/{username}|ecommerce|7
Venmo|https://venmo.com/{username}|ecommerce|6
Cash App|https://cash.app/|ecommerce|6
Trustpilot|https://www.trustpilot.com/review/{username}|ecommerce|5
